account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,customer_status,tenure_days,tenure_months,total_subscriptions,active_subscriptions,churned_subscriptions,total_mrr,total_arr,mrr_per_seat,total_upgrades,total_downgrades,upgrade_rate,downgrade_rate,auto_renew_subscriptions,auto_renew_rate,usage_events,total_usage,total_duration_secs,total_errors,features_used,total_tickets,avg_resolution_hours,avg_first_response_minutes,avg_satisfaction,escalated_tickets,escalation_rate,total_churn_events,total_refund,reactivation_events,retention_priority_score,retention_priority,priority_reason
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,Active,76,2.5,10,10,0,12603,151236,1400.3333333333333,1,0,0.1,0.0,8,0.8,55,535,152339,38,27,2.0,23.0,91.0,3.0,0.0,0.0,2.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,Churned,502,16.5,8,8,0,10004,120048,555.7777777777778,3,0,0.375,0.0,6,0.75,35,355,101136,14,23,3.0,38.0,73.33333333333333,4.0,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,Active,126,4.1,15,12,3,18286,219432,18286.0,1,1,0.06666666666666667,0.06666666666666667,15,1.0,83,821,251210,48,34,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,0.0,2.0,62.66,0.0,0,Monitor,No Major Risk Signal
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,Active,492,16.2,7,7,0,9275,111300,386.4583333333333,2,0,0.2857142857142857,0.0,5,0.7142857142857143,41,382,102528,21,26,2.0,29.0,174.0,0.0,0.0,0.0,1.0,0.0,0.0,2,Priority,Long Tenure
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,Churned,65,2.1,9,7,2,48761,585132,1393.1714285714286,2,0,0.2222222222222222,0.0,6,0.6666666666666666,58,579,215779,31,32,7.0,42.285714285714285,107.85714285714286,3.8,1.0,0.14285714285714285,1.0,0.0,0.0,4,Critical,High Revenue + Support Escalation
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,Active,446,14.7,11,10,1,16810,201720,4202.5,0,0,0.0,0.0,9,0.8181818181818182,47,457,140541,21,28,4.0,43.0,74.75,3.0,0.0,0.0,3.0,0.0,0.0,2,Priority,Long Tenure
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,Active,298,9.8,9,9,0,16633,199596,1512.090909090909,0,0,0.0,0.0,8,0.8888888888888888,39,373,116964,14,26,6.0,39.166666666666664,89.83333333333333,3.8,3.0,0.5,0.0,0.0,0.0,2,Priority,Support Escalation
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,Active,626,20.6,10,9,1,13048,156576,4349.333333333333,0,0,0.0,0.0,9,0.9,41,382,111506,23,29,3.0,42.666666666666664,57.0,0.0,0.0,0.0,2.0,0.0,0.0,2,Priority,Long Tenure
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,Churned,112,3.7,10,10,0,23057,276684,1921.4166666666667,1,0,0.1,0.0,7,0.7,48,472,145429,29,27,4.0,32.5,75.25,3.6666666666666665,0.0,0.0,3.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,Churned,603,19.8,6,5,1,8787,105444,627.6428571428571,1,0,0.16666666666666666,0.0,4,0.6666666666666666,27,257,73818,14,23,3.0,31.333333333333332,71.33333333333333,3.5,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,Churned,97,3.2,19,16,3,32571,390852,1809.5,1,1,0.05263157894736842,0.05263157894736842,15,0.7894736842105263,101,1053,326283,55,38,3.0,32.666666666666664,80.66666666666667,5.0,0.0,0.0,1.0,22.66,0.0,2,Priority,High Revenue
